County_Name,County_Population,Category
Johnson County,614764,Top 10
Sedgwick County,524810,Top 10
Shawnee County,178315,Top 10
Wyandotte County,167277,Top 10
Douglas County,119547,Top 10
Leavenworth County,82493,Top 10
Riley County,71710,Top 10
Butler County,67916,Top 10
Reno County,61693,Top 10
Saline County,53801,Top 10
Kiowa County,2422,Bottom 10
Graham County,2406,Bottom 10
Wichita County,2115,Bottom 10
Stanton County,2018,Bottom 10
Clark County,1987,Bottom 10
Comanche County,1685,Bottom 10
Hodgeman County,1676,Bottom 10
Lane County,1497,Bottom 10
Wallace County,1459,Bottom 10
Greeley County,1296,Bottom 10
